Organisation Code,Legal Name,Trading Name,Is Rto,Rto Status,Registration Manager,Initial Registration Date,Registration Start Date,Registration End Date,Registration End Reason,Head Office Physical Address,Head office location state,Longitude,Latitude,ACN,ABNs,Rto Type,Urls
"	2508","Charlton Brown Pty Ltd","CHARLTON BROWN AUSTRALIA NANNY COLLEGE",True,"Current(Re-registration pending)","ASQA",1998/01/01,2015/09/30,2022/09/29,"Registration period expired, registration is taken to continue while a renewal application is considered.","Level 4 102 Adelaide St  BRISBANE CITY QLD 4000","QLD",,,"071346953","76071346953","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://charltonbrown.com.au"
"	32463","CHC Services Pty Ltd","The Australian College for International Studies (TACIS)",True,"Current","ASQA",2011/10/28,2017/04/28,2023/10/27,"","Level 5 841 George St  HAYMARKET NSW 2000","NSW",,,"151209264","77151209264","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.tacis.edu.au"
"	3695","Child and Family Care Network Inc","bestchance Training",True,"Current","ASQA",1992/12/01,2016/01/01,2022/12/31,"","583 Ferntree Gully Rd  Glen Waverley VIC 3150","VIC",145.158750000,-37.902970000,"","53094161974","Community Based Adult Education Provider","http://www.bestchance.org.au"
"	40201","Child Care Services Training Australia Pty Ltd","Child Care Services Training",True,"Current","ASQA",2006/08/31,2016/08/31,2023/08/30,"","169 Salisbury Hwy  SALISBURY SA 5108","SA",138.635320000,-34.768730000,"601022548","87601022548","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.childcareservicestraining.com.au"
"	32071","Childcare Select Training Solutions Pty Ltd","Venture Education",True,"Current","ASQA",2009/12/17,2019/12/17,2026/12/16,"","Level 10 95 North Qy  BRISBANE CITY QLD 4000","QLD",,,"138631348","16138631348","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.venture.edu.au"
"	0260","Chisholm Institute","CHISHOLM INSTITUTE, CHISHOLM INSTITUTE OF TAFE",True,"Current","ASQA",1998/08/21,2022/10/30,2029/10/29,"","121 Stud Road  Dandenong VIC 3175","VIC",145.222370000,-37.975440000,"","65335795326","Technical And Further Education Institute, Skills Institute Or Polytechnic","http://www.chisholm.edu.au/"
"	45458","Christa College Pty Ltd","Christa College Training and Development Centre",True,"Current","ASQA",2018/11/06,2020/11/06,2027/11/05,"","Unit 5 49-55 Riverside Ave  WERRIBEE VIC 3030","VIC",144.658810000,-37.914230000,"619399816","53619399816","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.christacollege.edu.au"
"	4150","CIRE Services Incorporated","",True,"Current","ASQA",1992/12/01,2021/10/27,2024/12/31,"","7-9 John St  LILYDALE VIC 3140","VIC",145.344090000,-37.757340000,"","51933700538","Community Based Adult Education Provider","http://www.cire.org.au"
"	22115","CJAE Pty Ltd","Angel Institute of Education",True,"Current","ASQA",2008/07/01,2018/07/01,2025/06/30,"","Unit 3 62 Robinson Street  Dandenong VIC 3175","VIC",145.211900000,-37.983480000,"108928114","81108928114","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.angelinstitute.com.au"
"	3708","Cobram Community House Inc","Cobram Community House Inc",True,"Current","ASQA",1996/04/01,2020/05/01,2027/04/30,"","43-45 Punt Rd  Cobram VIC 3644","VIC",145.653600000,-35.919140000,"","44233569937","Community Based Adult Education Provider","http://www.cch.vic.edu.au"
"	52247","Collaboration Learning Pty Ltd","",True,"Current(Re-registration pending)","ASQA",2010/04/21,2015/04/30,2022/04/29,"Registration period expired, registration is taken to continue while a renewal application is considered.","Shop 6 69 King St  CABOOLTURE QLD 4510","QLD",152.949800000,-27.084430000,"141200357","55141200357","Education/training Business Or Centre: Privately Operated Registered Training Organisation","https://www.collaboration.edu.au/"
"	40933","College for Australian Early Childhood Educators Pty Ltd","College for Australian Early Childhood Educators Pty Ltd",True,"Current","ASQA",2014/05/16,2019/05/16,2026/05/14,"","Unit 2 10 Welch St  UNDERWOOD QLD 4119","QLD",153.116690000,-27.609280000,"163523788","80163523788","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.caece.com.au"
"	88148","Communities@Work Ltd","",True,"Current","ASQA",2007/09/01,2017/11/13,2024/11/12,"","245 Cowlishaw Street  Greenway ACT 2900","ACT",149.069520000,-35.415610000,"125799859","19125799859","Community Based Adult Education Provider","http://www.commsatwork.org"
"	4181","Community College Gippsland Ltd"," ECG Community College, Community College Gippsland Ltd",True,"Current","VRQA",1996/02/01,2015/03/03,2025/02/28,"","71 Warragul-Korumburra Road  WARRAGUL VIC 3820","VIC",145.928470000,-38.179560000,"005090317","37005090317","School - Independent","http://www.ccg.asn.au"
"	45832","COMPASSION EDUCATION PTY LTD","",True,"Current","ASQA",2022/05/17,2022/05/17,2024/05/16,"","81 Moore St  KINGAROY QLD 4610","QLD",151.854740000,-26.528190000,"632591667","15632591667","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.compassioneducation.online"
"	3733","Coonara Community House Inc","",True,"Current","ASQA",1996/11/01,2017/12/01,2024/11/30,"","22 Willow Rd  Upper Ferntree Gully VIC 3156","VIC",145.302140000,-37.896640000,"","65554350180","Community Based Adult Education Provider","http://www.coonarahouse.org.au"
"	51967","Croker Holiday Apartments Pty Ltd","Gold Star Child Care Training",True,"Current","WA TAC",2008/10/30,2018/09/13,2025/10/30,"","Shop 1, 33 The Broadway  ELLENBROOK WA 6069","WA",115.968410000,-31.777260000,"071413691","65071413691","Education/training Business Or Centre: Privately Operated Registered Training Organisation","https://www.goldstarchildcaretraining.com"
"	51849","CTAS RTO Pty Ltd","CTAS Education",True,"Current","WA TAC",2007/11/28,2018/04/12,2025/04/30,"","8A Babel Rd  Welshpool WA 6106","WA",115.933250000,-31.992820000,"127621167","54127621167","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.ctas.wa.edu.au"
"	40126","Dalynn Holdings Pty Ltd","Australia Wide Training Institute",True,"Current","ASQA",2003/06/27,2018/07/01,2025/06/30,"","Shop 4 54-58 Brookes St  BOWEN HILLS QLD 4006","QLD",153.035950000,-27.451300000,"005141837","50005141837","Education/training Business Or Centre: Privately Operated Registered Training Organisation",""
"	30380","Deception Bay State High School","Deception Bay State High School",True,"Current","ASQA",1998/01/01,2021/07/01,2027/12/31,"","Cnr Phillip Parade and Government Street  Deception Bay QLD 4508","QLD",153.032070000,-27.199800000,"","75633015329","School - Government","http://www.decebayshs.eq.edu.au"
"	60100","Department of Education Tasmania","",True,"Current","ASQA",2006/02/10,2016/02/09,2023/02/08,"","4 Salamanca Pl  HOBART TAS 7000","TAS",147.329810000,-42.885440000,"","26237631294","School - Government","https://www.education.tas.gov.au"
"	52395","Department of Training and Workforce Development","TAFE International Western Australia",True,"Current","ASQA",2011/06/29,2018/07/01,2025/06/29,"","16 Parkland Rd  OSBORNE PARK WA 6017","WA",115.815960000,-31.916540000,"","28925312809","Technical And Further Education Institute, Skills Institute Or Polytechnic","http://www.tafeinternational.wa.edu.au"
"	45649","Diocese of Lismore Catholic Schools Limited","",True,"Current","ASQA",2020/10/14,2020/10/14,2025/08/21,"","3 Dawson St  LISMORE NSW 2480","NSW",153.277900000,-28.812900000,"638070836","93638070836","School - Catholic","http://www.lism.catholic.edu.au"
"	30166","Djarragun College Limited","Djarragun College",True,"Current","ASQA",1998/01/01,2021/09/13,2027/12/31,"","1 Maher Road  Gordonvale QLD 4865","QLD",145.782700000,-17.083800000,"063049669","58063049669","School - Independent","http://www.djarraguncollege.qld.edu.au"
"	3771","Djerriwarrh Employment & Education Services Inc"," Djerriwarrh Community College, Djerriwarrh Community & Education Services ",True,"Current","VRQA",1996/01/01,2009/01/31,2024/01/31,"","239 Station Rd  MELTON VIC 3337","VIC",144.577930000,-37.686550000,"000000000","57816895087","School - Independent","http://djerriwarrh.org.au"
"	1886","Dovaston Consulting Group Pty Ltd","DOVASTON TRAINING & ASSESSMENT CENTRE",True,"Current","ASQA",1998/12/01,2017/08/29,2024/02/28,"","2/133 Mitchell Street  DARWIN NT 0800","NT",130.840800000,-12.464580000,"082375157","88082375157","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.dovaston.com.au"
"	90900","Early Childhood Training Pty Ltd","",True,"Current","ASQA",2003/09/09,2020/03/02,2027/03/01,"","235 Hawthorn Rd  CAULFIELD NORTH VIC 3161","VIC",145.023690000,-37.879010000,"078654216","42078654216","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.earlychildhoodtraining.com.au"
"	52690","East West Career Solutions Pty Ltd","",True,"Current","ASQA",2014/10/09,2021/05/01,2028/04/30,"","24 Boag Place  MORLEY WA 6062","WA",115.895350000,-31.900250000,"646689081","50646689081","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.micontraining.com.au"
"	22065","Eastern College Australia Limited","",True,"Current","ASQA",2008/08/08,2018/08/08,2025/08/06,"","5 Burwood Hwy  WANTIRNA VIC 3152","VIC",145.209090000,-37.860090000,"641764785","61551855405","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.eastern.edu.au"
"	40699","Educare Training Institute Australasia Pty Ltd","Educare College",True,"Current","ASQA",2013/07/07,2018/07/07,2025/02/11,"","Level 3 57 Coronation Dr  BRISBANE CITY QLD 4000","QLD",153.012740000,-27.467900000,"160864586","85160864586","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.educare.edu.au"
"	5089","Education Training & Employment Australia Pty. Ltd.","Education Training & Employment Australia",True,"Current","ASQA",1998/04/01,2018/09/09,2025/09/08,"","Lvl 1, 113 Burgundy Street  Heidelberg VIC 3084","VIC",145.066230000,-37.756370000,"085390692","62085390692","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.etea.edu.au"
"	45283","Edunex Pty Ltd","EduNex Training",True,"Current","ASQA",2017/11/03,2017/11/03,2024/11/02,"","47 Translink Dr  KEILOR PARK VIC 3042","VIC",144.846920000,-37.722530000,"613177361","68613177361","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.edunex.edu.au"
"	32048","EIM International Training PTY LTD","EIM International Training Pty Ltd, EIM International Training",True,"Current","ASQA",2010/01/18,2020/01/18,2027/03/10,"","72 Nerang St  SOUTHPORT QLD 4215","QLD",153.411680000,-27.969590000,"136934346","91136934346","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.eiminternational.edu.au/"
"	31408","EIM TRAINING PTY LTD","EIM TRAINING",True,"Current","ASQA",2006/12/20,2017/01/16,2024/01/14,"","72 Nerang St  SOUTHPORT QLD 4215","QLD",153.411680000,-27.969590000,"108736670","13108736670","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.eim.edu.au"
"	45839","ELC Training Australia Pty Ltd","",True,"Current","ASQA",2022/05/27,2022/05/27,2024/05/26,"","6 Druid Ave  STIRLING SA 5152","SA",138.715560000,-35.004930000,"649036859","45649036859","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.elctraining.com.au"
"	45018","ELITE EDUCATION GROUP PTY. LTD.","",True,"Current","ASQA",2016/10/12,2016/10/12,2023/10/11,"","Level 6 8 Quay St  HAYMARKET NSW 2000","NSW",151.203440000,-33.881080000,"160222837","52160222837","Education/training Business Or Centre: Privately Operated Registered Training Organisation",""
"	4849","Enable Consultation Services Pty Ltd","Enable College",True,"Current","ASQA",1999/04/06,2016/04/01,2023/03/31,"","Ground Floor 31 Franklin St  ADELAIDE SA 5000","SA",138.597840000,-34.927530000,"064426035","26064426035","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.enablecollege.com.au"
"	6998","Enterprise & Training Company Limited","ETC Training Solutions, ENTERPRISE & TRAINING COMPANY",True,"Current","ASQA",1995/05/17,2017/08/15,2024/08/14,"","80 Grafton Street  Coffs Harbour NSW 2450","NSW",153.114580000,-30.295090000,"003732009","52003732009","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.etcltd.com.au"
"	40996","ENTERPRISE ORGANISATION PTY LTD","Elite Training Academy",True,"Current","ASQA",2014/08/07,2019/08/07,2026/08/06,"","100 Gibson Avenue  Padstow NSW 2211","NSW",151.028060000,-33.940880000,"154468541","31154468541","Education/training Business Or Centre: Privately Operated Registered Training Organisation",""
"	45113","EPEC EDUCATION PTY LTD","",True,"Current","ASQA",2017/02/20,2017/02/20,2024/02/19,"","8-10 Russell St  TOOWOOMBA CITY QLD 4350","QLD",151.951200000,-27.559250000,"603660715","79603660715","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.epeceducation.com.au"
"	3492","EQUALS International (Aust) Pty Ltd","EQUALS International",True,"Current","ASQA",2004/06/22,2019/10/31,2024/10/30,"","81 Currie Street  Adelaide SA 5000","SA",138.596560000,-34.924850000,"078991858","81078991858","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.equals.edu.au"
"	45219","Evolation Learning Pty Ltd","Evolation Learning, Evolation",True,"Current","ASQA",2017/08/10,2017/08/10,2024/08/09,"","39 Chalker St  THIRLMERE NSW 2572","NSW",150.580070000,-34.207700000,"614944580","16614944580","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.evolationlearning.com.au"
"	52010","Excellent Accounts Pty Ltd","",True,"Current","ASQA",2012/10/11,2018/02/01,2025/01/31,"","10 Victoria Ave  PERTH WA 6000","WA",115.865960000,-31.957080000,"126274682","78126274682","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.skillsaustralia.edu.au"
"	40475","Eye Training Pty Ltd","EYE Training",True,"Current","ASQA",2012/07/30,2017/07/30,2024/07/29,"","236 Railway Parade  West Leederville WA 6007","WA",115.833880000,-31.941770000,"128050215","80095903876","Education/training Business Or Centre: Privately Operated Registered Training Organisation",""
"	41452","F & Z EDUCATION PTY LTD","Kingston Academy of Australia",True,"Current","ASQA",2016/03/18,2016/03/18,2023/03/17,"","Level 9, 474 Flinders St  MELBOURNE VIC 3000","VIC",144.958300000,-37.819890000,"608609703","48608609703","Education/training Business Or Centre: Privately Operated Registered Training Organisation","https://www.kingstonacademy.edu.au/"
"	4909","Federation University Australia","Federation University Australia",True,"Current","ASQA",1998/08/21,2022/07/01,2029/06/30,"","University Drive  Mount Helen VIC 3350","VIC",143.884890000,-37.624500000,"","51818692256","University - Government","https://federation.edu.au/"
"	45150","First Choice Education Pty Ltd","INTERNATIONAL INSTITUTE OF EDUCATION",True,"Current","ASQA",2017/04/11,2017/04/11,2024/04/10,"","Level 1 16-18 Wentworth St  PARRAMATTA NSW 2150","NSW",151.005800000,-33.819010000,"608872377","87608872377","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.iie.edu.au"
"	40782","First Door Training and Development Pty Ltd","First Door Training and Development Pty Ltd",True,"Current","ASQA",2013/11/30,2018/11/30,2025/11/28,"","10 Brindabella Ct  NORTH LAKES QLD 4509","QLD",153.014490000,-27.228110000,"161108596","49161108596","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.firstdoor.com.au"
"	22227","Foresite Training Pty. Ltd.","Foresite Training Pty Ltd",True,"Current","ASQA",2009/03/31,2019/03/31,2026/03/29,"","5-11 David Lee Rd  HALLAM VIC 3803","VIC",145.266450000,-38.012750000,"119110762","30119110762","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.foresitetraining.com.au"
"	22557","FOUNDATION EDUCATION PTY LTD","",True,"Current","ASQA",2012/10/31,2017/10/01,2024/10/30,"","54-58 Brookes St  BOWEN HILLS QLD 4006","QLD",153.035950000,-27.451300000,"147702725","60147702725","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.foundationeducation.edu.au"
"	3977","Foundation Learning Centre Inc"," Foundation Vogue Academy,  Foundation Education & Training ,  Foundation Learning Centre, Narre Community Learning Centre ,  Foundation College ",True,"Current","VRQA",1992/12/01,1992/12/01,2026/06/30,"","1 Malcolm Crt  NARRE WARREN VIC 3805","VIC",145.305150000,-38.026350000,"000000000","36809112033","Community Based Adult Education Provider","http://www.foundation.vic.edu.au"
"	50354","Fremantle Education Centre Inc","Fremantle Education Centre (FEC)",True,"Current","WA TAC",1994/03/10,2017/10/12,2024/09/30,"","Cnr Cantonment & Parry Streets  FREMANTLE WA 6160","WA",115.748410000,-32.050010000,"","16939952609","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.fec.org.au"
"	21976","FYI Training Pty Ltd","FYI EDUCATION & TRAINING",True,"Current","ASQA",2007/06/29,2017/07/01,2024/06/28,"","Unit 2 494 High St  LALOR VIC 3075","VIC",145.019210000,-37.660110000,"126059309","12126059309","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.fyitraining.com.au"
"	5819","Geelong Ethnic Communities Council Inc","Diversitat",True,"Current","ASQA",1998/09/16,2019/01/30,2026/01/29,"","25-41 Arunga Ave  NORLANE VIC 3214","VIC",144.351780000,-38.096590000,"","29252806279","Community Based Adult Education Provider","http://diversitat.org.au/"
"	2417","Gills College Australia Pty Ltd","ELITE COLLEGE AUSTRALIA",True,"Current","ASQA",1997/07/11,2019/08/01,2026/07/31,"","Unit 10 14 Edgeworth David Ave  HORNSBY NSW 2077","NSW",151.102140000,-33.706110000,"076370824","44076370824","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.gillscollege.edu.au"
"	0417","Gippsland Institute of Technical and Further Education","TAFE Gippsland",True,"Current","ASQA",1995/12/04,2022/07/01,2029/06/30,"","Cnr Princes Drive & Monash Way  Morwell VIC 3840","VIC",146.419540000,-38.239540000,"","42624574808","Technical And Further Education Institute, Skills Institute Or Polytechnic","http://www.tafegippsland.edu.au"
"	41292","GLOBAL BUSINESS COLLEGE OF AUSTRALIA PTY. LTD.","Global Business College Of Australia Pty Ltd",True,"Current","ASQA",2015/09/25,2022/09/25,2029/09/24,"","Level 2, 337 Latrobe Street  Melbourne VIC 3000","VIC",144.959490000,-37.811090000,"600373859","96600373859","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.gbca.edu.au"
"	41340","GLOBAL EDUCATION CONSULTANT PTY. LTD.","Dalton College",True,"Current","ASQA",2015/11/13,2015/11/13,2022/11/12,"","Suite 1 Level 14 190 Queen St  MELBOURNE VIC 3000","VIC",,,"603077970","83603077970","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.daltoncollege.vic.edu.au"
"	40623","Gold Coast Institute of Technology Pty Ltd","Gold Coast Institute of Technology, GC Institute",True,"Current","ASQA",2013/03/13,2018/03/13,2025/03/12,"","Tower 2 Level 5, Suite 2505 SOUTHPORT QLD 4215","QLD",,,"125714070","73125714070","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.gcinstitute.qld.edu.au/"
"	3044","Gordon Institute of TAFE","The Gordon",True,"Current","ASQA",1996/09/05,2022/07/01,2029/06/30,"","2 Fenwick St  GEELONG VIC 3220","VIC",144.352890000,-38.153660000,"","27241053246","Technical And Further Education Institute, Skills Institute Or Polytechnic","http://www.thegordon.edu.au"
"	3094","Goulburn Ovens Institute of TAFE","gotafe",True,"Current","ASQA",1996/11/20,2022/07/01,2029/06/30,"","Fryers St  Shepparton VIC 3630","VIC",145.404560000,-36.379590000,"","33549081413","Technical And Further Education Institute, Skills Institute Or Polytechnic","http://www.gotafe.vic.edu.au"
"	22088","Greenhill Education Group Pty Ltd","Royal Greenhill Institute of Technology",True,"Current","ASQA",2008/09/02,2018/09/02,2023/08/31,"","28-32 Elizabeth Street  Melbourne VIC 3000","VIC",144.964830000,-37.817270000,"127999160","68127999160","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.rgit.edu.au"
"	52805","Greenhouse Education Pty Ltd","Greenhouse Education Pty Ltd",True,"Current","ASQA",2016/09/15,2021/08/19,2023/09/30,"","Unit 19, 61 Ocean Keys Boulevard,  Clarkson WA 6030","WA",115.719790000,-31.689500000,"144043407","39144043407","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.greenhouseeducation.com.au"
"	1129","Guilford Young College","Guilford Young College",True,"Current","ASQA",2004/10/27,2019/10/27,2026/10/26,"","74 Bowden Street  Glenorchy TAS 7010","TAS",147.270220000,-42.834970000,"","76019833993","School - Catholic","http://www.gyc.tas.edu.au"
"	45704","H&H Accredited Training Pty Ltd","",True,"Current","ASQA",2021/06/25,2021/06/25,2026/01/12,"","98 South St  GRANVILLE NSW 2142","NSW",151.010400000,-33.835310000,"647830546","95647830546","Education/training Business Or Centre: Privately Operated Registered Training Organisation","https://hnh.org.au/"
"	90720","Hammond Institute Pty Ltd","Institute of Child Care, Hammond Institute.",True,"Current","ASQA",2001/10/22,2018/11/04,2025/11/03,"","Level 1, 243 Lonsdale St  DANDENONG VIC 3175","VIC",145.218630000,-37.996000000,"003307542","46003307542","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.hammond.edu.au"
"	21838","Hays International College Pty Ltd","",True,"Current","ASQA",2006/10/16,2017/05/01,2023/10/31,"","693 Station St  BOX HILL VIC 3128","VIC",145.123820000,-37.817460000,"121046599","92121046599","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.hic.vic.edu.au"
"	31261","HBA Learning Centres Pty Ltd","HBA LEARNING CENTRES",True,"Current","ASQA",2006/01/09,2016/01/09,2023/01/08,"","Level 5 118 Walker St  NORTH SYDNEY NSW 2060","NSW",151.208800000,-33.837710000,"003720483","96003720483","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.hba.edu.au"
"	91533","HCR Constructions Pty Ltd","STEP INTO TRAINING SERVICES",True,"Current","ASQA",2009/07/17,2021/07/18,2028/07/17,"","Unit 9 91 Wembley Rd  LOGAN CENTRAL QLD 4114","QLD",153.108860000,-27.640430000,"082365508","16082365508","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.sits.edu.au"
"	91141","Health & Safety Advisory Service Pty Ltd","Health and Safety Advisory Service Pty Ltd",True,"Current","ASQA",2005/07/04,2018/12/21,2025/12/20,"","88-90 Grand View Drive  Mount Riverview NSW 2774","NSW",150.642110000,-33.721000000,"109599377","98109599377","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.safetyadserv.com"
"	21985","Health Careers International Pty Ltd","INSTITUTE OF HEALTH AND NURSING AUSTRALIA",True,"Current","ASQA",2007/07/16,2018/07/01,2024/11/22,"","597-599 Upper Heidelberg Road  Heidelberg Heights VIC 3081","VIC",145.057650000,-37.747180000,"106800944","59106800944","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.ihna.edu.au"
"	40387","Hessel Pty Ltd","Enhance Training",True,"Current","ASQA",2011/07/06,2016/07/06,2023/07/05,"","Suite 4 224 Glen Osmond Road  Fullarton SA 5063","SA",138.630700000,-34.949790000,"083317239","13083317239","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.enhancetraining.org"
"	45857","HIGH SKILLED TRAINING AND EDUCATION AUSTRALIA PTY LTD","",True,"Current","ASQA",2022/07/04,2022/07/04,2024/07/03,"","Unit 1 3 Glenville Dr  MELTON VIC 3337","VIC",144.593870000,-37.685590000,"646762816","58646762816","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.highskilledtraining.com.au"
"	5989","Hillcourt Vocational Training Centre Pty Ltd","sage education australia",True,"Current","ASQA",1998/07/13,2019/10/01,2026/09/30,"","Shop 1 80 Wembley Rd  LOGAN CENTRAL QLD 4114","QLD",153.114370000,-27.642080000,"082316434","98082316434","Education/training Business Or Centre: Privately Operated Registered Training Organisation","https://sageeducation.edu.au"
"	40200","HITsa Training and Employment Pty Ltd","HITsa",True,"Current","ASQA",2006/04/10,2016/04/09,2023/04/08,"","353 Cross Rd  CLARENCE GARDENS SA 5039","SA",138.574220000,-34.967570000,"058716484","39058716484","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.hitsa.com.au/"
"	0416","Holmesglen Institute","Holmesglen Centre for Applied Research and Innovation, The Tunneling and Civil Construction Academy, Centre for Applied Research and Innovation, HOLMESGLEN INSTITUTE OF TAFE, The Victorian Tunneling Centre, The Melbourne Tunneling and Construction Centre, HOLMESGLEN INSTITUTE, Mackenzie Research Institute, Holmesglen Institute of Technology",True,"Current","ASQA",1996/06/21,2022/07/01,2029/06/30,"","1 Batesford Road  Chadstone VIC 3148","VIC",145.092200000,-37.875370000,"","40096756729","Technical And Further Education Institute, Skills Institute Or Polytechnic","http://www.holmesglen.edu.au"
"	40932","HORIZON2 PTY LTD","Care College, Horizon2",True,"Current","ASQA",2014/05/15,2019/05/15,2026/05/14,"","Suite 1 Level 1 243 Edward St  BRISBANE CITY QLD 4000","QLD",,,"167310625","27167310625","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.horizon2.com.au"
"	21340","Iascend Polytechnic Pty Ltd","Melbourne College of Further Education",True,"Current","ASQA",2003/06/27,2018/12/19,2025/12/18,"","Unit 39 617-643 Spencer St  WEST MELBOURNE VIC 3003","VIC",144.945510000,-37.806540000,"084305555","40084305555","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.mcfe.com.au"
"	41000","IISSA TRAINING CENTER PTY. LTD.","Charles Australian College",True,"Current","ASQA",2014/08/07,2022/04/03,2029/04/02,"Registration period expired, registration is taken to continue while a renewal application is considered.","Factory 2 1523-1525 Sydney Rd  CAMPBELLFIELD VIC 3061","VIC",144.953930000,-37.659190000,"164208842","46164208842","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.iissatraining.com.au"
"	52791","iLearn Oz Pty Ltd","iLearn OZ",True,"Current","ASQA",2016/05/12,2016/10/21,2023/05/31,"","Level 5 440 Elizabeth St  MELBOURNE VIC 3000","VIC",,,"610041775","56610041775","Education/training Business Or Centre: Privately Operated Registered Training Organisation",""
"	90331","Illawarra Area Child Care Ltd","ECTARC",True,"Current","ASQA",1997/11/19,2021/11/26,2028/11/25,"","Unit 2 210 Shellharbour Road  Warrawong NSW 2502","NSW",150.888640000,-34.498070000,"002974076","87002974076","Community Based Adult Education Provider","http://www.ectarc.com.au"
"	31302","Imagine Education Australia Pty Ltd as Trustee for The Imagine Education Australia Unit Trust","Imagine Education Australia",True,"Current","ASQA",2006/02/08,2016/02/08,2023/02/07,"","13 Benowa Rd  SOUTHPORT QLD 4215","QLD",153.407950000,-27.982910000,"104661510","27620585615","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.imagineeducation.com.au"
"	32142","Insight Training Group Australia Pty Ltd","",True,"Current","ASQA",2010/11/22,2015/11/22,2022/11/21,"","Unit 12, 23 Collier Rd  MORLEY WA 6062","WA",115.902550000,-31.896470000,"140467929","77140467929","Education/training Business Or Centre: Privately Operated Registered Training Organisation","http://www.insight.edu.au"
"	45125","INSPIRE & LEARN PTY LTD","",True,"Current","ASQA",2017/02/20,2017/02/20,2024/02/19,"","18 Morris St  MELTON SOUTH VIC 3338","VIC",144.569350000,-37.694450000,"603074684","74603074684","Education/training Business Or Centre: Privately Operated Registered Training Organisation","https://www.inspireandlearn.edu.au/"
"	32067","Inspire Education Pty Ltd","SMARTSKILLS TAE, Inspire Education Pty Ltd",True,"Current(in Administration/liquidation)","ASQA",2010/01/22,2022/01/22,2029/01/21,"Registration period is current, organisation under external administration or voluntary liquidation","Level 19 288 Edward St  BRISBANE CITY QLD 4000","QLD",153.025600000,-27.467380000,"134907289","78134907289","Education/training Business Or Centre: Privately Operated Registered Training Organisation","https://www.inspireeducation.net.au"
